ACAtoAAA	ACCtoAAC	ACGtoAAG	ACTtoAAT	CCAtoCAA	CCCtoCAC	CCGtoCAG	CCTtoCAT	GCAtoGAA	GCCtoGAC	GCGtoGAG	GCTtoGAT	TCAtoTAA	TCCtoTAC	TCGtoTAG	TCTtoTAT	AAAtoACA	AACtoACC	AAGtoACG	AATtoACT	CAAtoCCA	CACtoCCC	CAGtoCCG	CATtoCCT	GAAtoGCA	GACtoGCC	GAGtoGCG	GATtoGCT	TAAtoTCA	TACtoTCC	TAGtoTCG	TATtoTCT	AAAtoAGA	AACtoAGC	AAGtoAGG	AATtoAGT	CAAtoCGA	CACtoCGC	CAGtoCGG	CATtoCGT	GAAtoGGA	GACtoGGC	GAGtoGGG	GATtoGGT	TAAtoTGA	TACtoTGC	TAGtoTGG	TATtoTGT	ACAtoAGA	ACCtoAGC	ACGtoAGG	ACTtoAGT	CCAtoCGA	CCCtoCGC	CCGtoCGG	CCTtoCGT	GCAtoGGA	GCCtoGGC	GCGtoGGG	GCTtoGGT	TCAtoTGA	TCCtoTGC	TCGtoTGG	TCTtoTGT	AAAtoATA	AACtoATC	AAGtoATG	AATtoATT	CAAtoCTA	CACtoCTC	CAGtoCTG	CATtoCTT	GAAtoGTA	GACtoGTC	GAGtoGTG	GATtoGTT	TAAtoTTA	TACtoTTC	TAGtoTTG	TATtoTTT	ACAtoATA	ACCtoATC	ACGtoATG	ACTtoATT	CCAtoCTA	CCCtoCTC	CCGtoCTG	CCTtoCTT	GCAtoGTA	GCCtoGTC	GCGtoGTG	GCTtoGTT	TCAtoTTA	TCCtoTTC	TCGtoTTG	TCTtoTTT
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	2	0	0	1	0	3	0	1	2	0	1	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	4	1	1	0	4	1	0	0	0	0	0	1	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	1	1	1	4	0	0	0	0	1	0	0	3	1	0	1	0	2
2	0	0	1	2	6	4	1	0	1	0	2	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	2	1	0	3	8	2	3	1	4	2	0	1	2	0	0	0	0	1	1	0	0	1	1	0	0	3	0	0	0	1	1	0	7	1	0	2	3	1	0	0	2	0	0	3	0	0	4	5	4	1	6	17	3	5	13	21	5	11	7	7	4	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	11	5	56	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	5	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	1	1	0	0	2	0	0	0	1	0	0	0	3	0	0	1	0	0	2	0	0	0	1	1	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	4	9	1	0	2	0	0	6	2	1	1	0	0	0	1	1	2	0
0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	1	1	1	0	2	2	1	0	1	2	3
3	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	8	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	2	1	2
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	9	12	7	60	0	0	0	0	0	1	1	0	2	0	0	0	1	1	1	0
1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	3	5	4	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	4	2	3	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	6	12	50	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1
4	3	1	1	2	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	3	1	0	0	0	0	0	0	1	0	1	0	0	0	2	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	2	7	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1
0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2
2	2	0	1	1	0	0	0	4	0	0	0	1	1	0	0	1	3	0	0	0	7	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	1	1	1	4	1	0	0	1	1	0	0	1	1	0	0	1	0	2	3	1	2	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	4	5	1	3	1	1	5	2	2	0	1	1	0	1	4	0	1	2	0	2
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	10	15	86	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
